authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Qian-Long/48548967', 'https://www.semanticscholar.org/author/Zihan-Zhou/2519795', '-1', 'https://www.semanticscholar.org/author/Fei-Fang/47324685', 'https://www.semanticscholar.org/author/Yi-Wu/87825240', 'https://www.semanticscholar.org/author/Xiaolong-Wang/39635018']",11;2095;-1;123;2485;1176,33;71;-1;29;69;120,2;21;-1;5;4;18,0;201;0;2;736;92
"['https://www.semanticscholar.org/author/Xin-Xing/144062928', 'https://www.semanticscholar.org/author/Long-Sha/1890048', 'https://www.semanticscholar.org/author/Pengyu-Hong/145595134', 'https://www.semanticscholar.org/author/Zuofeng-Shang/2030965', 'https://www.semanticscholar.org/author/Jun-S.-Liu/29380704']",28;318;1805;212;25180,9;32;92;44;339,2;10;22;9;69,5;18;97;22;2510
"['https://www.semanticscholar.org/author/Chaoqi-Wang/1470679471', 'https://www.semanticscholar.org/author/Guodong-Zhang/46266081', 'https://www.semanticscholar.org/author/Roger-B.-Grosse/1785346']",12;1335;5791,2;16;51,1;11;28,6;225;815
"['https://www.semanticscholar.org/author/Moonkyung-Ryu/34609551', 'https://www.semanticscholar.org/author/Yinlam-Chow/1819830', 'https://www.semanticscholar.org/author/Ross-Anderson/121732142', 'https://www.semanticscholar.org/author/Christian-Tjandraatmadja/144707259', 'https://www.semanticscholar.org/author/Craig-Boutilier/145646162']",59;763;352;123;14037,8;50;24;17;276,4;15;5;5;55,8;92;41;20;1714
"['https://www.semanticscholar.org/author/Amartya-Sanyal/3494481', 'https://www.semanticscholar.org/author/Philip-H.-S.-Torr/143635540', 'https://www.semanticscholar.org/author/Puneet-K.-Dokania/1943570']",59;28788;45,14;356;9,3;84;4,4;3878;6
"['https://www.semanticscholar.org/author/Tao-Lin/145724662', 'https://www.semanticscholar.org/author/Sebastian-U.-Stich/2127057', 'https://www.semanticscholar.org/author/Luis-Barba/143880377', 'https://www.semanticscholar.org/author/Daniil-S.-Dmitriev/19212292', 'https://www.semanticscholar.org/author/Martin-Jaggi/2456863']",163;984;734;8;3856,7;48;116;10;114,6;16;14;1;27,17;142;32;1;577
"['https://www.semanticscholar.org/author/Bowen-Baker/40566201', 'https://www.semanticscholar.org/author/Ingmar-Kanitscheider/3151440', 'https://www.semanticscholar.org/author/Todor-Markov/14113256', 'https://www.semanticscholar.org/author/Yi-Wu/13841178', 'https://www.semanticscholar.org/author/Glenn-Powell/46818887', 'https://www.semanticscholar.org/author/Bob-McGrew/39593364', 'https://www.semanticscholar.org/author/Igor-Mordatch/2080746']",1263;1076;122;773;581;1247;3078,13;19;7;169;9;7;49,7;10;2;14;4;7;27,149;106;19;32;57;180;351
"['https://www.semanticscholar.org/author/Han-Zhao/145034731', 'https://www.semanticscholar.org/author/Amanda-Coston/48577290', 'https://www.semanticscholar.org/author/Tameem-Adel/3168195', 'https://www.semanticscholar.org/author/Geoffrey-J.-Gordon/21889436']",853;22;443;10736,91;12;25;186,11;4;9;48,34;0;51;1228
"['https://www.semanticscholar.org/author/Daniel-Ruffinelli/8792454', 'https://www.semanticscholar.org/author/Samuel-Broscheit/2966239', 'https://www.semanticscholar.org/author/Rainer-Gemulla/1777107']",79;121;2531,11;16;69,5;7;22,13;19;367
"['https://www.semanticscholar.org/author/Kiant%C3%A9-Brantley/11963742', 'https://www.semanticscholar.org/author/Weidong-Sun/145814219', 'https://www.semanticscholar.org/author/Mikael-Henaff/39713408']",58;934;2407,9;144;23,4;17;14,4;33;204
"['https://www.semanticscholar.org/author/Miguel-Jaques/50425877', 'https://www.semanticscholar.org/author/Michael-Burke/152422954', 'https://www.semanticscholar.org/author/Timothy-M.-Hospedales/79456794']",14;731;384,4;61;31,2;15;9,1;54;34
"['https://www.semanticscholar.org/author/Ignasi-Clavera/15593386', 'https://www.semanticscholar.org/author/Yao-Fu/48467558', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992']",437;157;37294,15;49;438,8;8;94,57;9;4481
"['https://www.semanticscholar.org/author/Peter-Sorrenson/147845044', 'https://www.semanticscholar.org/author/Carsten-Rother/150063676', 'https://www.semanticscholar.org/author/Ullrich-K%C3%B6the/1708103']",4;360;3025,4;34;111,1;6;24,0;38;244
"['https://www.semanticscholar.org/author/Akash-Srivastava/2018087', 'https://www.semanticscholar.org/author/Kai-Xu/1384602097', 'https://www.semanticscholar.org/author/Michael-U.-Gutmann/145992652', 'https://www.semanticscholar.org/author/Charles-Sutton/152549864']",490;600;765;50,49;69;45;18,7;11;14;3,99;35;100;4
"['https://www.semanticscholar.org/author/Jiachen-Yang/3021550', 'https://www.semanticscholar.org/author/Alireza-Nakhaei/2148583', 'https://www.semanticscholar.org/author/David-Isele/3431333', 'https://www.semanticscholar.org/author/Kikuo-Fujimura/35047644', 'https://www.semanticscholar.org/author/Hongyuan-Zha/145203884']",1578;363;262;3894;14480,149;43;24;161;408,20;10;7;28;62,46;19;13;227;1225
"['https://www.semanticscholar.org/author/Kyungsun-Lim/26969348', 'https://www.semanticscholar.org/author/Nyeong-Ho-Shin/1580007196', 'https://www.semanticscholar.org/author/Young-Yoon-Lee/2473301', 'https://www.semanticscholar.org/author/Chang-su-Kim/145040490']",31;0;184;74,4;2;22;18,2;0;8;4,5;0;18;4
"['https://www.semanticscholar.org/author/Maria-Florina-Balcan/1745410', 'https://www.semanticscholar.org/author/Travis-Dick/35323166', 'https://www.semanticscholar.org/author/Manuel-Lang/48033193']",5098;17;428,178;12;11,40;3;7,480;2;26
"['https://www.semanticscholar.org/author/Yuanming-Hu/10116209', 'https://www.semanticscholar.org/author/Luke-Anderson/144413718', 'https://www.semanticscholar.org/author/Tzu-Mao-Li/1775024', 'https://www.semanticscholar.org/author/Qi-Sun/123555217', 'https://www.semanticscholar.org/author/Nathan-Carr/144723856', 'https://www.semanticscholar.org/author/Jonathan-Ragan-Kelley/1401885963', 'https://www.semanticscholar.org/author/Fr%C3%A9do-Durand/145403226']",624;195;287;1684;564;995;22425,30;26;15;133;39;36;361,11;7;8;14;12;17;76,77;14;31;54;46;99;2451
"['https://www.semanticscholar.org/author/Kai-Zhang/145086488', 'https://www.semanticscholar.org/author/Yaokang-Zhu/1570203501', 'https://www.semanticscholar.org/author/Jun-Wang/71563095', 'https://www.semanticscholar.org/author/Junfeng-Zhang/40430887']",833;3;189;346,112;2;122;181,13;1;8;9,55;0;5;13
"['https://www.semanticscholar.org/author/Michael-Arbel/32585233', 'https://www.semanticscholar.org/author/Arthur-Gretton/1708497', 'https://www.semanticscholar.org/author/Wuchen-Li/2217054', 'https://www.semanticscholar.org/author/Guido-Mont%C3%BAfar/1784667']",275;13138;443;1193,11;216;57;60,5;48;12;14,64;2236;16;77
"['https://www.semanticscholar.org/author/Zachary-Teed/8048414', 'https://www.semanticscholar.org/author/Jia-Deng/153302678']",21;14944,4;81,2;28,2;2557
"['https://www.semanticscholar.org/author/Stephanie-C.-Y.-Chan/50328436', 'https://www.semanticscholar.org/author/Sam-Fishman/1456172157', 'https://www.semanticscholar.org/author/Anoop-Korattikara-Balan/34786378', 'https://www.semanticscholar.org/author/John-F.-Canny/1729041', 'https://www.semanticscholar.org/author/Sergio-Guadarrama/1687120']",34;0;1429;33288;18292,6;1;17;358;74,3;0;7;58;23,1;0;181;2645;2261
"['https://www.semanticscholar.org/author/Duc-Tam-Nguyen/145184668', 'https://www.semanticscholar.org/author/Chaithanya-Kumar-Mummadi/29359383', 'https://www.semanticscholar.org/author/Th%E1%BB%8B-Ph%C6%B0%C6%A1ng-Nhung-Ng%C3%B4/148225098', 'https://www.semanticscholar.org/author/Thi-Hoai-Phuong-Nguyen/150322672', 'https://www.semanticscholar.org/author/Laura-Beggel/67064464', 'https://www.semanticscholar.org/author/Thomas-Brox/1710872']",35;36;8;13;38;38737,16;6;2;3;6;257,4;5;1;2;4;73,3;4;1;1;3;5989
"['https://www.semanticscholar.org/author/Jinhua-Zhu/151068900', 'https://www.semanticscholar.org/author/Yingce-Xia/2794096', 'https://www.semanticscholar.org/author/Lijun-Wu/47767791', 'https://www.semanticscholar.org/author/Di-He/1391126980', 'https://www.semanticscholar.org/author/Tao-Qin/1490777462', 'https://www.semanticscholar.org/author/Wengang-Zhou/38272296', 'https://www.semanticscholar.org/author/Houqiang-Li/7179232', 'https://www.semanticscholar.org/author/Tie-Yan-Liu/152998017']",36;1288;205;40;15;3191;6175;13552,11;49;36;29;15;179;386;369,3;14;7;4;2;28;39;51,8;138;21;10;2;310;603;1723
"['https://www.semanticscholar.org/author/G%C3%A1bor-Melis/94303026', 'https://www.semanticscholar.org/author/Tom%C3%A1s-Kocisk%C3%BD/2367821', 'https://www.semanticscholar.org/author/Phil-Blunsom/1685771']",611;2781;11713,14;16;144,8;10;47,99;429;1357
"['https://www.semanticscholar.org/author/Matilde-Gargiani/50811693', 'https://www.semanticscholar.org/author/Andrea-Zanelli/35437368', 'https://www.semanticscholar.org/author/Quoc-Tran-Dinh/1403374767', 'https://www.semanticscholar.org/author/Moritz-Diehl/1694268', 'https://www.semanticscholar.org/author/Frank-Hutter/144661829']",21;173;619;6547;13008,7;32;66;315;233,2;7;14;36;51,2;5;44;481;1554
"['https://www.semanticscholar.org/author/Iordanis-Kerenidis/2658063', 'https://www.semanticscholar.org/author/Jonas-Landman/52189727', 'https://www.semanticscholar.org/author/Anupam-Prakash/49428348']",1603;26;616,100;3;39,22;2;11,152;2;67
"['https://www.semanticscholar.org/author/Anand-Bhattad/35986726', 'https://www.semanticscholar.org/author/Min-Jin-Chong/50615993', 'https://www.semanticscholar.org/author/Kaizhao-Liang/102461072', 'https://www.semanticscholar.org/author/Bo-Li/46708584', 'https://www.semanticscholar.org/author/David-A.-Forsyth/144016256']",39;99;26;235;20774,6;6;4;147;426,4;4;2;9;62,8;16;7;25;1616
"['https://www.semanticscholar.org/author/Eduard-Gorbunov/153794284', 'https://www.semanticscholar.org/author/Adel-Bibi/2314778', 'https://www.semanticscholar.org/author/Ozan-Sener/3114252', 'https://www.semanticscholar.org/author/El-Houcine-Bergou/2579015', 'https://www.semanticscholar.org/author/Peter-Richt%C3%A1rik/2662221']",25;462;1183;71;5790,10;25;33;14;159,3;9;13;5;37,2;65;213;6;597
"['https://www.semanticscholar.org/author/Divyansh-Kaushik/9264826', 'https://www.semanticscholar.org/author/Eduard-H.-Hovy/144547315', 'https://www.semanticscholar.org/author/Zachary-Chase-Lipton/32219137']",137;23872;4885,6;579;97,4;76;29,12;2499;438
"['https://www.semanticscholar.org/author/Eric-Wong/51026953', 'https://www.semanticscholar.org/author/Leslie-Rice/47260842', 'https://www.semanticscholar.org/author/J.-Zico-Kolter/145116464']",726;72;7966,22;5;117,6;3;36,104;8;1085
"['https://www.semanticscholar.org/author/Junkyung-Kim/118691416', 'https://www.semanticscholar.org/author/Drew-Linsley/4045460', 'https://www.semanticscholar.org/author/Kalpit-C.-Thakkar/51285870', 'https://www.semanticscholar.org/author/Thomas-Serre/1981539']",53;132;32;8070,19;21;3;117,4;7;3;29,2;6;3;1222
"['https://www.semanticscholar.org/author/Sang-hyun-Hong/7148129', 'https://www.semanticscholar.org/author/Michael-Davinroy/1412919121', 'https://www.semanticscholar.org/author/Yigitcan-Kaya/40898242', 'https://www.semanticscholar.org/author/Dana-Dachman-Soled/1403144886', 'https://www.semanticscholar.org/author/Tudor-Dumitras/3343194']",521;17;107;850;1790,55;3;12;68;100,13;2;5;17;20,11;3;17;47;140
"['https://www.semanticscholar.org/author/Akhil-Bagaria/46912019', 'https://www.semanticscholar.org/author/George-Konidaris/1765407']",23;3018,3;145,1;29,4;191
"['https://www.semanticscholar.org/author/Roy-Mor/1580384188', 'https://www.semanticscholar.org/author/Erez-Peterfreund/89364499', 'https://www.semanticscholar.org/author/Matan-Gavish/1797789', 'https://www.semanticscholar.org/author/Amir-Globerson/1786843']",0;3;1052;4536,2;7;45;124,0;1;13;32,0;0;98;574
['https://www.semanticscholar.org/author/G%C3%A1bor-Berend/2866858'],255,31,8,15
"['https://www.semanticscholar.org/author/Ki-Hyun-Kim/69960720', 'https://www.semanticscholar.org/author/Sangwoo-Shim/48037747', 'https://www.semanticscholar.org/author/Yongsub-Lim/1679091', 'https://www.semanticscholar.org/author/Jongseob-Jeon/1576327107', 'https://www.semanticscholar.org/author/Jeongwoo-Choi/11224076', 'https://www.semanticscholar.org/author/Byungchan-Kim/48925317', 'https://www.semanticscholar.org/author/A.-S.-Yoon/145279901']",77;117;237;1;272;251;2,24;24;18;1;38;16;2,6;3;7;1;10;2;1,5;5;30;0;10;9;0
"['https://www.semanticscholar.org/author/R%C3%B3ger-Berm%C3%BAdez-Chac%C3%B3n/1410911922', 'https://www.semanticscholar.org/author/Mathieu-Salzmann/2862871', 'https://www.semanticscholar.org/author/Pascal-Fua/153918727']",27;5661;4410,6;198;81,2;42;21,0;623;586
"['https://www.semanticscholar.org/author/Johannes-von-Oswald/145167136', 'https://www.semanticscholar.org/author/Christian-Henning/47893999', 'https://www.semanticscholar.org/author/Jo%C3%A3o-Sacramento/3105061', 'https://www.semanticscholar.org/author/Benjamin-F.-Grewe/48117063']",15;52;249;758,9;17;26;19,2;4;8;9,0;1;15;30
"['https://www.semanticscholar.org/author/Yuanhao-Wang/47904142', 'https://www.semanticscholar.org/author/Jiachen-Hu/50779082', '-1', 'https://www.semanticscholar.org/author/Liwei-Wang/145602574']",76;6;-1;2396,5;5;-1;75,3;2;-1;23,12;0;0;264
"['https://www.semanticscholar.org/author/Shi-Yu-Huang/1730018', 'https://www.semanticscholar.org/author/Hang-Su/144904233', 'https://www.semanticscholar.org/author/Jun-Zhu/145254056', 'https://www.semanticscholar.org/author/Ting-Chen/145358498']",1675;1613;705;488,185;69;96;42,21;13;15;10,127;226;15;89
"['https://www.semanticscholar.org/author/Zhiyuan-Li/1399957018', 'https://www.semanticscholar.org/author/Jaideep-Vitthal-Murkute/1505524340', 'https://www.semanticscholar.org/author/Prashnna-Kumar-Gyawali/50340328', 'https://www.semanticscholar.org/author/Lin-Wei-Wang/48170028']",9;0;61;5,11;2;12;9,1;0;2;1,1;0;6;0
"['https://www.semanticscholar.org/author/Ruishan-Liu/2059283', 'https://www.semanticscholar.org/author/Akshay-Balsubramani/1693411', 'https://www.semanticscholar.org/author/James-Y.-Zou/145085305']",90;286;1618,17;25;94,5;7;21,3;32;167
"['https://www.semanticscholar.org/author/Hae-Beom-Lee/80316080', 'https://www.semanticscholar.org/author/Taewook-Nam/47418323', 'https://www.semanticscholar.org/author/Eunho-Yang/1720494', 'https://www.semanticscholar.org/author/Sung-Ju-Hwang/35788904']",96;44;1067;1128,23;3;75;71,5;2;16;16,4;2;169;125
"['https://www.semanticscholar.org/author/Hanshu-Yan/143619442', 'https://www.semanticscholar.org/author/Jiawei-Du/50748225', 'https://www.semanticscholar.org/author/Vincent-Yan-Fu-Tan/1717080', 'https://www.semanticscholar.org/author/Jiashi-Feng/33221685']",12;115;2953;9533,9;33;277;332,1;5;25;52,0;6;228;1232
"['https://www.semanticscholar.org/author/Alexander-Meinke/38150565', 'https://www.semanticscholar.org/author/Matthias-Hein/37388290']",22;524,5;53,2;8,1;43
"['https://www.semanticscholar.org/author/Yuu-Jinnai/3387240', 'https://www.semanticscholar.org/author/Jee-Won-Park/48490341', 'https://www.semanticscholar.org/author/Marlos-C.-Machado/40066857', 'https://www.semanticscholar.org/author/George-Konidaris/1765407']",92;235;637;3018,23;22;31;145,6;6;11;29,7;11;79;191
"['https://www.semanticscholar.org/author/Stefan-Uhlich/2504395', 'https://www.semanticscholar.org/author/Lukas-Mauch/35110909', 'https://www.semanticscholar.org/author/Fabien-Cardinaux/3925900', 'https://www.semanticscholar.org/author/Kazuki-Yoshiyama/2944556', 'https://www.semanticscholar.org/author/Juan-Alberto-Herreria-Garcia/14407509', 'https://www.semanticscholar.org/author/Stephen-Tiedemann/52069840', 'https://www.semanticscholar.org/author/Thomas-Kemp/143699085', 'https://www.semanticscholar.org/author/Akira-Nakamura/145658948']",270;177;860;54;20;16;1153;1102,30;22;41;7;11;18;67;267,7;8;13;4;3;2;15;15,37;16;61;2;1;1;88;62
"['https://www.semanticscholar.org/author/Vaggos-Chatziafratis/8769315', 'https://www.semanticscholar.org/author/Sai-Ganesh-Nagarajan/2381235', 'https://www.semanticscholar.org/author/Ioannis-Panageas/2522024', 'https://www.semanticscholar.org/author/Xiao-Wang/144129720']",95;35;497;4404,13;9;35;361,5;3;10;31,10;1;41;307
"['https://www.semanticscholar.org/author/William-Qi/1480139231', 'https://www.semanticscholar.org/author/Ravi-Teja-Mullapudi/47368718', 'https://www.semanticscholar.org/author/Saurabh-Gupta/47924870', 'https://www.semanticscholar.org/author/Deva-Ramanan/1770537']",1;261;59;32040,1;13;30;163,1;5;4;59,0;38;6;5389
"['https://www.semanticscholar.org/author/Zuchao-Li/30658665', 'https://www.semanticscholar.org/author/Rui-Wang/108085542', 'https://www.semanticscholar.org/author/Kehai-Chen/2849740', 'https://www.semanticscholar.org/author/Masso-Utiyama/1583166440', 'https://www.semanticscholar.org/author/Eiichiro-Sumita/1698363', 'https://www.semanticscholar.org/author/Zhuosheng-Zhang/3322871', 'https://www.semanticscholar.org/author/Hai-Zhao/47941144']",339;591;263;5;4424;391;1300,29;54;39;1;378;32;262,9;14;8;1;31;13;18,34;47;15;1;341;45;76
"['https://www.semanticscholar.org/author/Abdullah-Al-Dujaili/1448896890', 'https://www.semanticscholar.org/author/Una-May-O%E2%80%99Reilly/1398192342']",36;3604,10;220,4;31,5;328
"['https://www.semanticscholar.org/author/Timothy-Tadros/151493735', 'https://www.semanticscholar.org/author/Giri-Panamoottil-Krishnan/2553599', 'https://www.semanticscholar.org/author/Ramyaa/1865266', 'https://www.semanticscholar.org/author/Maxim-Bazhenov/143968639']",4;98;73;4362,6;15;18;205,1;4;4;37,0;6;9;388
"['https://www.semanticscholar.org/author/Alessio-Quaglino/49086703', 'https://www.semanticscholar.org/author/Marco-Gallieri/2066311', 'https://www.semanticscholar.org/author/Jonathan-Masci/2426718', 'https://www.semanticscholar.org/author/Jan-Koutn%C3%ADk/2865775']",50;147;5373;3122,18;17;47;50,4;6;22;14,1;9;474;297
"['https://www.semanticscholar.org/author/Hongyu-Ren/40046694', 'https://www.semanticscholar.org/author/Weihua-Hu/48594758', 'https://www.semanticscholar.org/author/Jure-Leskovec/1702139']",240;1346;48502,42;63;302,10;13;93,15;296;6080
"['https://www.semanticscholar.org/author/Kien-Do/36072771', 'https://www.semanticscholar.org/author/Truyen-Tran/6254479']",67;1938,11;133,5;24,7;127
"['https://www.semanticscholar.org/author/Binghong-Chen/2976012', 'https://www.semanticscholar.org/author/Bo-Dai/144445937', 'https://www.semanticscholar.org/author/Qinjie-Lin/39328246', 'https://www.semanticscholar.org/author/Guo-Ye/144346085', 'https://www.semanticscholar.org/author/Han-Lian-Liu/1557362855', 'https://www.semanticscholar.org/author/Le-Song/1779453']",10;418;22;234;13;9519,5;58;11;79;28;329,2;8;3;6;2;54,0;64;0;11;0;1114
